paper_title,paper_authors,full_name,acronym,material_class,ionic_conductivity_S_per_cm,temperature,processing_method,material_description,source_location
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Polyethylene oxide + Lithium Lanthanum Zirconium Tantalate Oxide,PEO + LLZTO (Li₆.₄La₃Zr₁.₄Ta₀.₆O₁₂),Other,1.6,RT,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 5 (citing [51] Huo et al.)"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Polyethylene oxide + Lithium Lanthanum Zirconium Tantalate Oxide,PEO + LLZTO (Li₆.₄La₃Zr₁.₄T₀.₆O₁₂),Other,1.17,RT,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 5 (citing [52] Chen et al.)"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Lithium Tin Zirconium Phosphate,LSZP (LiSnZr(PO₄)₃),Ceramic,1.45,RT,N/A (Cited Work),"NASICON-type rhombohedral compound, synthesized via method reported in Ref [20].","Table 1, Row 1 (also Introduction, paragraph 6, citing [20])"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide,PVDF + LiTFSI (CPE-00),Polymer,2.35,RT,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer electrolyte (80 wt% PVDF : 20 wt% LiTFSI). Semi-crystalline phase formation confirmed by XRD, mixed (α+β) phases of PVDF.","Table 1, Row 2"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Tin Zirconium Phosphate,PVDF + LiTFSI + LSZP (CPE-05),Other,1.53,RT,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. 5 wt% LSZP powder (synthesized via method reported in Ref [20]) added, stirred overnight at room temperature. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer-ceramic composite electrolyte, (PVDF + LiTFSI) + 5 wt% LiSnZr(PO₄)₃ ceramic filler. Rhombohedral R̅3c phase coexists with α-phase of PVDF.","Table 1, Row 3"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Tin Zirconium Phosphate,PVDF + LiTFSI + LSZP (CPE-10),Other,2.35,RT,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. 10 wt% LSZP powder (synthesized via method reported in Ref [20]) added, stirred overnight at room temperature. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer-ceramic composite electrolyte, (PVDF + LiTFSI) + 10 wt% LiSnZr(PO₄)₃ ceramic filler. NASICON-type rhombohedral phase dominates.","Table 1, Row 4"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Tin Zirconium Phosphate,PVDF + LiTFSI + LSZP (CPE-15),Other,5.76,RT,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. 15 wt% LSZP powder (synthesized via method reported in Ref [20]) added, stirred overnight at room temperature. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer-ceramic composite electrolyte, (PVDF + LiTFSI) + 15 wt% LiSnZr(PO₄)₃ ceramic filler. Highest Li⁺ conductivity. NASICON-type rhombohedral phase dominates.","Table 1, Row 5"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Tin Zirconium Phosphate,PVDF + LiTFSI + LSZP (CPE-20),Other,1.29,RT,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. 20 wt% LSZP powder (synthesized via method reported in Ref [20]) added, stirred overnight at room temperature. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer-ceramic composite electrolyte, (PVDF + LiTFSI) + 20 wt% LiSnZr(PO₄)₃ ceramic filler. Lowest conductivity due to agglomeration of ceramic particles and resultant cracks and brittle nature.","Table 1, Row 6"
Effect of NASICON-type LiSnZr(PO4)3 ceramic filler on the ionic conductivity and electrochemical behavior of PVDF based composite electrolyte,"Tanvi Pareek, Sushmita Dwivedi, Shadab Ali Ahmad, Manish Badole, Sunil Kumar",Poly(vinylidene difluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Tin Zirconium Phosphate,PVDF + LiTFSI + LSZP (CPE-15),Other,1.24,20 °C,"PVDF (M_w = 5.43 	imes 10⁵, Alfa Aesar) dissolved in NMP (ACS reagent, purity >99.9%, Sigma Aldrich), stirred continuously till transparent. LiTFSI (purity >99.0%, Alfa Aesar) added, stirred for 12 h. 15 wt% LSZP powder (synthesized via method reported in Ref [20]) added, stirred overnight at room temperature. Homogeneous solution cast on a petri dish and placed under vacuum for 48 h at 50 °C to evaporate the solvent. Finally, the composite membrane was peeled off and stored in an argon-filled glove box.","PVDF-based polymer-ceramic composite electrolyte, (PVDF + LiTFSI) + 15 wt% LiSnZr(PO₄)₃ ceramic filler.","Results and discussion, paragraph 6 (referring to Fig. 5(b) data)"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Polypropylene carbonate polymer electrolyte,PEO/PPC,Other,6.83e-05,25 °C,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 5, cited from Ref [31]"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Poly(ethylene oxide)/Lithium lanthanum zirconium aluminum oxide nanowires composite,PEO/LLZO,Other,0.000116,30 °C,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 6, cited from Ref [34]"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt electrolyte,PTL,Other,6.14e-05,30 °C,"Solution casting: PEO, TPU, and LiTFSI (dry at 80 °C under vacuum) dissolved in DMF (EO:Li⁺ = 18:1), stirred for 6h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Polymer blend (PEO/TPU) with LiTFSI salt. Electrolyte membrane thickness about 187 µm, smooth surface. Lower Tg (-47.80 °C) than PEO, melting temperatures Tm1 = 33.06 °C, Tm2 = 46.58 °C.","Results and discussion, paragraph 6"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt/Lithium lanthanum zirconium oxide composite electrolyte,PTLL,Other,0.000122,30 °C,"Solution casting: PEO, TPU, LiTFSI dissolved in DMF (EO:Li⁺=18:1), stirred 6h to get PTL. 10 wt% LLZO nanonetwork added to the solution and stirred for 4h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Composite solid electrolyte with 10 wt% LLZO nano network. LLZO nanowires ~250 nm diameter, uniformly distributed. Lower Tg (-50.91 °C) than PEO and PTL, melting temperatures Tm1 = 30.57 °C, Tm2 = 43.90 °C.","Results and discussion, paragraph 6"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Bis(trifluoromethane) sulfonimide lithium salt/Lithium lanthanum zirconium oxide composite electrolyte,PLL,Other,0.0001243,30 °C,"Manufacturing method is the same as PTL and PTLL, but without TPU. PEO and LiTFSI dissolved in DMF (implied EO:Li⁺=18:1). 10 wt% LLZO nanonetwork added and stirred. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.",Composite solid electrolyte with 10 wt% LLZO nano network. Has the smallest ion diffusion barrier among tested electrolytes (lower activation energy).,"Results and discussion, paragraph 6"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt electrolyte,PTL,Other,5e-05,25 °C,"Solution casting: PEO, TPU, and LiTFSI (dry at 80 °C under vacuum) dissolved in DMF (EO:Li⁺ = 18:1), stirred for 6h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Polymer blend (PEO/TPU) with LiTFSI salt. Electrolyte membrane thickness about 187 µm, smooth surface. Lower Tg (-47.80 °C) than PEO, melting temperatures Tm1 = 33.06 °C, Tm2 = 46.58 °C.","Figure 2b, plot digitization"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt/Lithium lanthanum zirconium oxide composite electrolyte,PTLL,Other,0.00014,25 °C,"Solution casting: PEO, TPU, LiTFSI dissolved in DMF (EO:Li⁺=18:1), stirred 6h to get PTL. 5 wt% LLZO nanonetwork added to the solution and stirred for 4h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Composite solid electrolyte with 5 wt% LLZO nano network. Lower Tg (-50.91 °C) than PEO and PTL, melting temperatures Tm1 = 30.57 °C, Tm2 = 43.90 °C.","Figure 2b, plot digitization"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt/Lithium lanthanum zirconium oxide composite electrolyte,PTLL,Other,0.00013,25 °C,"Solution casting: PEO, TPU, LiTFSI dissolved in DMF (EO:Li⁺=18:1), stirred 6h to get PTL. 10 wt% LLZO nanonetwork added to the solution and stirred for 4h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Composite solid electrolyte with 10 wt% LLZO nano network. LLZO nanowires ~250 nm diameter, uniformly distributed. Lower Tg (-50.91 °C) than PEO and PTL, melting temperatures Tm1 = 30.57 °C, Tm2 = 43.90 °C.","Figure 2b, plot digitization"
Safe solid-state PEO/TPU/LLZO nano network polymer composite gel electrolyte for solid state lithium batteries,"Haoshan Xu, Shuhong Huang, Jiaqi Qian, Siming Liu, Ling Li, Xiaohui Zhao, Wenming Zhang",Polyethylene oxide/Thermoplastic polyurethane/Bis(trifluoromethane) sulfonimide lithium salt/Lithium lanthanum zirconium oxide composite electrolyte,PTLL,Other,7.9e-05,25 °C,"Solution casting: PEO, TPU, LiTFSI dissolved in DMF (EO:Li⁺=18:1), stirred 6h to get PTL. 15 wt% LLZO nanonetwork added to the solution and stirred for 4h. Electrolyte precursor dumped into a polyester mold and dried in a vacuum oven at 80 °C for 24h.","Composite solid electrolyte with 15 wt% LLZO nano network. Lower Tg (-50.91 °C) than PEO and PTL, melting temperatures Tm1 = 30.57 °C, Tm2 = 43.90 °C.","Figure 2b, plot digitization"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE,Other,0.00024,Room-temperature,"Developed by combining Li6.4La3Zr1.4Ta0.6O12 ceramic filler with poly(vinylidene fluoride) (PVDF) polymer and bis(tri-fluoromethane)sulfonimide lithium (LiTFSI) salt. (General description; detailed method in Experimental section 2.2: PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder added, stirred for 12h, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.)","Free-standing, flexible composite solid electrolyte; combines PVDF polymer, LiTFSI salt, and Li6.4La3Zr1.4Ta0.6O12 ceramic filler.",Abstract
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Ceramic electrolytes,,Ceramic,0.0001,Room-temperature,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 3"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Polyethylene oxide with Lithium salt,PEO,Polymer,1e-06,Room-temperature,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 3"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE-5,Other,0.00024,Room-temperature,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder (5% by weight of PVDF+LiTFSI) added, stirred for 12h, cast with doctor blade, dried in vacuum oven at 80 °C for 24h.","Enhanced room-temperature ionic conductivity, enlarged voltage window, improved mechanical strength, outstanding dendrite suppression, remarkable thermal stability. Free-standing, scalable, mechanically robust.","Introduction, paragraph 5"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Poly(vinylidene fluoride) with Lithium bis(trifluoromethanesulfonyl)imide,CSPE-0,Polymer,9e-05,~24 °C,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, stirred, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.",Base polymer electrolyte without ceramic filler. Transparent membrane and slurry. Reduced crystallinity after adding LiTFSI.,Figure 3c and text in 'Electrochemical characterization of the CSPE membrane' section
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE-2.5,Other,0.00018,~24 °C,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder (2.5% by weight of PVDF+LiTFSI) added, stirred for 12h, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.",Composite solid polymer electrolyte with 2.5% LLZTO filler.,"Figure 3c, plot digitization"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE-5,Other,0.00024,~24 °C,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder (5% by weight of PVDF+LiTFSI) added, stirred for 12h, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.","Composite solid polymer electrolyte with 5% LLZTO filler. Exhibited the highest ionic conductivity. Dark khaki color, flexible and durable membrane, rough but compact surface.",Figure 3c and text in 'Electrochemical characterization of the CSPE membrane' section
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE-7.5,Other,0.00016,~24 °C,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder (7.5% by weight of PVDF+LiTFSI) added, stirred for 12h, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.",Composite solid polymer electrolyte with 7.5% LLZTO filler.,"Figure 3c, plot digitization"
"Room-temperature, high-voltage solid-state lithium battery with composite solid polymer electrolyte with in-situ thermal safety study","Sensen Zhang, Zheng Li, Yue Guo, Lirong Cai, Palanisamy Manikandan, Kejie Zhao, Ying Li, Vilas G. Pol",Composite solid polymer electrolyte (Poly(vinylidene fluoride) + Lithium bis(trifluoromethanesulfonyl)imide + Lithium Lanthanum Zirconate Tantalate Oxide),CSPE-10,Other,0.00011,~24 °C,"PVDF and LiTFSI (4:1 M ratio) dissolved in DMF, LLZTO powder (10% by weight of PVDF+LiTFSI) added, stirred for 12h, cast with doctor blade on a glass plate, dried in vacuum oven at 80 °C for 24h.",Composite solid polymer electrolyte with 10% LLZTO filler.,"Figure 3c, plot digitization"
High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,"Junying Yin, Xin Xu, Sen Jiang, Haihua Wu, Lai Wei, Yudan Li, Jinpeng He, Kang Xi, Yunfang Gao",Poly(ethylene oxide) / Aramid nanofibers / Lithium Lanthanum Zirconate Oxide / Lithium bis(trifluoromethanesulfonyl)imide,ANF-PEO-20LLZO,Other,0.00136,30 °C,"Solution casting method: ANF/DMSO solution, DMF, PEO (MV=600,000 g mol-1) and LiTFSI ([EO]:[Li] = 12:1) mixed and stirred for 12h at 40°C. Then, 20 wt% grinded LLZO particles (prepared by sol-gel method, calcined at 250°C for 2h and 850°C for 12h) added and stirred for 12h at 40°C. Mixture poured into Teflon mold and dried in vacuum at 80°C for 24h.","Novel composite solid-state electrolyte with 3D flexible framework constructed by ANFs and PEO, with LLZO particles as Li+-conducting fillers; crystallinity remarkably decreased compared to pure PEO host.",Abstract
High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,"Junying Yin, Xin Xu, Sen Jiang, Haihua Wu, Lai Wei, Yudan Li, Jinpeng He, Kang Xi, Yunfang Gao",Poly(ethylene oxide) / Lithium salt,PEO-based electrolyte,Polymer,1e-05,RT,Not specified in this context.,"High crystallinity, limits segment motion of polymer chains.",Introduction
High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,"Junying Yin, Xin Xu, Sen Jiang, Haihua Wu, Lai Wei, Yudan Li, Jinpeng He, Kang Xi, Yunfang Gao",Poly(ethylene oxide) / Lithium bis(trifluoromethanesulfonyl)imide,PEO,Polymer,3.16e-07,30 °C,"Solution casting method: PEO (MV=600,000 g mol-1) and LiTFSI ([EO]:[Li] = 12:1) mixed and stirred, dried in vacuum at 80 °C for 24h.",Pure PEO with LiTFSI; characterized by high crystallinity.,"Figure 3(i), plot digitization"
High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,"Junying Yin, Xin Xu, Sen Jiang, Haihua Wu, Lai Wei, Yudan Li, Jinpeng He, Kang Xi, Yunfang Gao",Poly(ethylene oxide) / Aramid nanofibers / Lithium bis(trifluoromethanesulfonyl)imide,ANF-PEO,Other,0.00063,30 °C,"Solution casting method: ANF/DMSO solution (1g para-aramid cropped fiber + 1g KOH in 200mL DMSO), DMF, PEO (MV=600,000 g mol-1) and LiTFSI ([EO]:[Li] = 12:1) mixed and stirred for 12h at 40°C. Mixture poured into Teflon mold and dried in vacuum at 80°C for 24h.","3D crosslink framework formed by ANFs and PEO, reduced crystallinity of PEO, facilitates segmental motion.","Main text, section 3, paragraph on ionic conductivity"
High ionic conductivity PEO-based electrolyte with 3D framework for Dendrite-free solid-state lithium metal batteries at ambient temperature,"Junying Yin, Xin Xu, Sen Jiang, Haihua Wu, Lai Wei, Yudan Li, Jinpeng He, Kang Xi, Yunfang Gao",Poly(ethylene oxide) / Aramid nanofibers / Lithium Lanthanum Zirconate Oxide / Lithium bis(trifluoromethanesulfonyl)imide,ANF-PEO-20LLZO,Other,0.00136,30 °C,"Solution casting method: ANF/DMSO solution, DMF, PEO (MV=600,000 g mol-1) and LiTFSI ([EO]:[Li] = 12:1) mixed and stirred for 12h at 40°C. Then, 20 wt% grinded LLZO particles (prepared by sol-gel method, calcined at 250°C for 2h and 850°C for 12h) added and stirred for 12h at 40°C. Mixture poured into Teflon mold and dried in vacuum at 80°C for 24h.","Lowest crystallinity, amorphous regions further expanded, abundant channels for lithium-ion transport, due to synergistic effect of ANFs and LLZO.","Main text, section 3, paragraph on ionic conductivity"
Vanadium-doped Li6.7La3Zr1.7V0.3O12 and PVDF-HFP enhanced the ionic conductivity and cycling stability of composite solid electrolytes for All-Solid-State lithium batteries,"Yilin Li, Dong Han, Xueqin Gao, Jing Shi, Wei Wang, Huanlei Wang, Lili Zheng",Poly(ethylene oxide)/Lithium bis(trifluoromethanesulfonyl)imide/Poly(vinylidene fluoride-hexafluoro propylene)/Vanadium-doped Lithium Lanthanum Zirconate Oxide,PEO/LiTFSI/PVDF-HFP/10% V-LLZO,Other,0.000204,30 °C,"N/A (Optimal composition of this study, described in detail in Materials and Methods and Results and Discussion sections)","N/A (Optimal composition of this study, described in detail in Materials and Methods and Results and Discussion sections)",Abstract
Vanadium-doped Li6.7La3Zr1.7V0.3O12 and PVDF-HFP enhanced the ionic conductivity and cycling stability of composite solid electrolytes for All-Solid-State lithium batteries,"Yilin Li, Dong Han, Xueqin Gao, Jing Shi, Wei Wang, Huanlei Wang, Lili Zheng",Aluminum-doped Lithium Lanthanum Zirconate Oxide (in PEO-based electrolyte),LLZAO,Other,0.000226,30 °C,N/A (Cited Work),N/A (Cited Work),"Introduction, paragraph 6"
Vanadium-doped Li6.7La3Zr1.7V0.3O12 and PVDF-HFP enhanced the ionic conductivity and cycling stability of composite solid electrolytes for All-Solid-State lithium batteries,"Yilin Li, Dong Han, Xueqin Gao, Jing Shi, Wei Wang, Huanlei Wang, Lili Zheng",Poly(ethylene oxide)-Lithium bis(trifluoromethanesulfonyl)imide-Poly(vinylidene fluoride-hexafluoro propylene)-10 %Li6.7La3Zr1.7V0.3O12,PLP-10%LLZVO,Other,0.000205,30 °C,"N/A (Main composition of this study, described in detail in Materials and Methods and Results and Discussion sections)","N/A (Main composition of this study, described in detail in Materials and Methods and Results and Discussion sections)","Introduction, paragraph 7"
Vanadium-doped Li6.7La3Zr1.7V0.3O12 and PVDF-HFP enhanced the ionic conductivity and cycling stability of composite solid electrolytes for All-Solid-State lithium batteries,"Yilin Li, Dong Han, Xueqin Gao, Jing Shi, Wei Wang, Huanlei Wang, Lili Zheng",Poly(ethylene oxide)-Lithium bis(trifluoromethanesulfonyl)imide-Poly(vinylidene fluoride-hexafluoro propylene),PLP,Other,4.28e-05,30 °C,"1 g PEO (Mv=600000 g/mol) dissolved in 10 mL anhydrous acetonitrile. 0.2 g PVDF-HFP (Mv=455000 g/mol) dissolved in 3 mL N-methyl pyrrolidone. Solutions mixed, 0.4 g LiTFSI added (0 wt% LLZVO), stirred for 12 h. Mixture covered on Teflon plate, dried at 50 °C for 24 h.",Surface smooth and flat without wrinkles. Crystallinity 49.66%. Tg -39.13 °C.,"Section 3, paragraph on ionic conductivity, first sentence"
Vanadium-doped Li6.7La3Zr1.7V0.3O12 and PVDF-HFP enhanced the ionic conductivity and cycling stability of composite solid electrolytes for All-Solid-State lithium batteries,"Yilin Li, Dong Han, Xueqin Gao, Jing Shi, Wei Wang, Huanlei Wang, Lili Zheng",Lithium Lanthanum Zirconate Oxide,LLZO,Ceramic,10.0,N/A (General statement),N/A (Cited Work),N/A (Cited Work),"Section 3, paragraph 1"
